,26mon
0,airedale
1,beagle
2,beagles
3,bichon
4,bird
5,birds
6,bulldog
7,bunnies
8,bunny
9,camels
10,cat
11,cats
12,cattle
13,chickens
14,chihuahua
15,chihuahuas
16,collie
17,cow
18,cows
19,dachshund
20,dachshunds
21,doberman
22,dog
23,doggies
24,doggo
25,doggos
26,dogs
27,donkey
28,donkeys
29,ferret
30,ferrets
31,geese
32,gerbil
33,gerbils
34,goat
35,goats
36,guinea pig
37,hamster
38,hamsters
39,horse
40,horses
41,hound
42,kitten
43,kittens
44,kitties
45,kitty
46,labradors
47,lambs
48,my animals
49,my pets
50,pet
51,pets
52,pinscher
53,pomeranian
54,ponies
55,pooch
56,pooches
57,poodle
58,poodles
59,pug
60,pup
61,pupper
62,puppers
63,puppies
64,puppy
65,pups
66,rabbit
67,rabbits
68,retriever
69,retrievers
70,rottweiler
71,schnauzer
72,sheep
73,sheltie
74,spaniel
75,spaniels
76,squirrel
77,squirrels
78,terrier
79,terriers
80,turtle
81,yorkie
82,yorkies
