,wid,reflection_period,original_hm,cleaned_hm,modified,num_sentence,ground_truth_category,predicted_category,id,text
159,45,24h,I meditated last night.,I meditated last night.,True,1,leisure,leisure,6,meditation night
181,45,24h,Watched a tv series.,Watched a tv series.,True,1,leisure,leisure,17537,series tv watched
188,45,24h,I saw that my uploaded video has been viewed by many people.,I saw that my uploaded video has been viewed by many people.,True,1,achievement,achievement,29139,people uploaded video view
205,45,24h,I eat good food.,I eat good food.,True,1,leisure,enjoy_the_moment,99585,eat food
270,740,24h,I have successfully completed my project and my client appreciated me very much,I have successfully completed my project and my client appreciated me very much,True,1,achievement,achievement,5880,appreciated client completed project successfully
282,740,3m,I got a good increment in my salary,I got a good increment in my salary,True,1,achievement,achievement,46123,increment salary
287,740,3m,My friends elected me as the president of our arts club,My friends elected me as the president of our arts club,True,1,achievement,achievement,53952,art club elected friend president
290,740,3m,Won a price money of ten thousand,Won a price money of ten thousand,True,1,achievement,achievement,57179,money price ten thousand won
2651,37,24h,I was able to get to work on time even though I woke up late.,I was able to get to work on time even though I woke up late.,True,1,achievement,achievement,5134,late time woke
2676,37,24h,I had the day off from work so I got to hang out with my friends.,I had the day off from work so I got to hang out with my friends.,True,1,bonding,bonding,25226,day friend hang
2687,37,3m,I was able to find a box of Magic The Gathering cards for very cheap at a garage sale.,I was able to find a box of Magic The Gathering cards for very cheap at a garage sale.,True,1,achievement,achievement,46320,box card cheap garage gathering magic sale
2688,37,3m,My friends threw me a birthday party.,My friends threw me a birthday party.,True,1,bonding,bonding,48308,birthday friend party threw
2693,37,3m,I got to see my little cousin graduate from college.,I got to see my little cousin graduate from college.,True,1,affection,affection,54954,college cousin graduation
2695,37,3m,My friend enjoyed the birthday gift I got her a lot.,My friend enjoyed the birthday gift I got her a lot.,True,1,bonding,bonding,56940,birthday enjoyed friend gift
2706,37,3m,I saved enough money to preorder a special edition of a game I've been wanting to play for awhile.,I saved enough money to preorder a special edition of a game I've been wanting to play for awhile.,True,1,achievement,achievement,67778,awhile editing game ive money played preorder saved special
2857,69,24h,When i claim back 95% my insurance money from insurance company.,When i claim back 95% my insurance money from insurance company.,True,1,achievement,achievement,486,claim company insurance insurance money
2867,69,24h,I m very happy when i first time drive my own gifted car.,I m very happy when i first time drive my own gifted car.,True,1,enjoy_the_moment,achievement,8712,car drive gift time
2871,69,24h,I m very happy when me and my wife go to cinema hall for watching new movie.,I m very happy when me and my wife go to cinema hall for watching new movie.,True,1,affection,affection,10850,cinema hall movie watched wife
2901,69,3m,I am very happy when my wife got a new job as per her requirement.,I am very happy when my wife got a new job as per her requirement.,True,1,affection,affection,52997,job required wife
2903,69,3m,I am very happy when i win 100000 $ in a lottery of my society and i donate whole amount to a kids development fund.,I am very happy when i win 100000 $ in a lottery of my society and i donate whole amount to a kids development fund.,True,1,achievement,achievement,55055,amount development donat funds kids lottery society win
2906,69,3m,I am very happy when my younger brother is open a new business to expand his business.,I am very happy when my younger brother is open a new business to expand his business.,True,1,enjoy_the_moment,affection,60828,brother business business expand
2912,69,3m,"I am very happy when i went to picnic tour with my co-worker, we enjoy each and every moment.","I am very happy when i went to picnic tour with my co-worker, we enjoy each and every moment.",True,1,bonding,bonding,67068,coworker enjoyed moment picnic tour
2926,69,24h,I am very happy when get my lost lucky purse in basement of my house.,I am very happy when get my lost lucky purse in basement of my house.,True,1,enjoy_the_moment,achievement,92369,basement house lost lucky purse
2927,648,24h,INDIA WON THE SERIES AGAINST AUSTRALIA MADE ME TO FEEL HAPPY,INDIA WON THE SERIES AGAINST AUSTRALIA MADE ME TO FEEL HAPPY,True,1,enjoy_the_moment,enjoy_the_moment,87,australia feel india series won
2934,648,24h,played volleyball tournment qualifier match and we won,played volleyball tournament qualifier match and we won,False,1,achievement,achievement,6771,match played qualified tournament volleyball won
2954,648,3m,last month my family members presented a car for me,last month my family members presented a car for me,True,1,affection,affection,45888,car family
3354,689,3m,My dearest friend has cleared her GRE exam with good score. Soon she will be leaving India to make her career dreams come true and live with her love of life who stays abroad.,My dearest friend has cleared her GRE exam with good score. Soon she will be leaving India to make her career dreams come true and live with her love of life who stays abroad.,True,2,bonding,bonding,34683,abroad career cleared dearest dream exam friend gre india leave life live love score stay true
3355,689,3m,My grandpa  Has recovered from long time illness,My grandpa  Has recovered from long time illness,True,1,affection,affection,37661,grandpa ill recovered time
3358,689,3m,I brought my first ring with my own earnings.,I brought my first ring with my own earnings.,True,1,achievement,achievement,44802,brought earned ring
3419,1517,3m,I am about to graduate and for me that is a big event that will make me very happy and accomplished,I am about to graduate and for me that is a big event that will make me very happy and accomplished,True,1,achievement,achievement,69988,accomplished event graduation
3421,1517,3m,I ate my favorite food that I haven't had in a while.,I ate my favorite food that I haven't had in a while.,True,1,enjoy_the_moment,enjoy_the_moment,71971,ate favorite food havent
3438,251,24h,meeting old friend last sunday,meeting old friend last sunday,True,1,bonding,bonding,3132,friend meet sunday
3446,251,24h,going to my friend home,going to my friend home,True,1,bonding,bonding,13320,friend home
3450,251,24h,going to jogging in the morning with my pet,going to jogging in the morning with my pet,True,1,exercise,exercise,19034,jog morning pet
3462,251,3m,going to yoga training session,going to yoga training session,True,1,exercise,exercise,49524,session training yoga
3467,251,3m,Meeting my sister afer long time,Meeting my sister afer long time,True,1,affection,affection,73119,afer meet sister time
3469,251,24h,"Watching raindrops ""race each other"" down windows. and the smell of wet soil made me happy","Watching raindrops ""race each other"" down windows. and the smell of wet soil made me happy",True,2,nature,nature,94995,race raindrops smell soil watched wet window
3499,3704,24h,Find a new job,Find a new job,True,1,achievement,achievement,305,job
3550,932,24h,I scored 50 runs by myself in cricket match.,I scored 50 runs by myself in cricket match.,True,1,achievement,achievement,5274,cricket match run score
3558,932,3m,I bought a new controller (Red Gear) to play games on my laptop.,I bought a new controller (Red Gear) to play games on my laptop.,True,1,leisure,leisure,31884,bought control game gear laptop played red
3560,932,3m,I went out with my uncle and sister for evening walk.,I went out with my uncle and sister for evening walk.,True,1,affection,affection,37842,evening sister uncle walk
3567,932,3m,My summer holidays started and i came home.,My summer holidays started and i came home.,True,1,leisure,affection,75419,holiday home started summer
3569,932,3m,I went for dinner at a new restaurant with my family.,I went for dinner at a new restaurant with my family.,True,1,affection,affection,77408,dinner family restaurant
3598,1094,24h,A new game in the series I like got announced to be coming this year.,A new game in the series I like got announced to be coming this year.,True,1,leisure,leisure,10967,announced coming game series
3599,1094,24h,I beat my old high score in a game I've been trying to do off an on for a week.,I beat my old high score in a game I've been trying to do off an on for a week.,True,1,achievement,achievement,11960,beat game ive score
3603,1094,3m,When I turned in all my homework assignments in time.,When I turned in all my homework assignments in time.,True,1,achievement,achievement,32404,assignment homework time
3611,4148,24h,i met my old friends after 5 years.we all had a talk for half a day.we played football like my old days.,i met my old friends after 5 years.we all had a talk for half a day.we played football like my old days.,True,1,bonding,bonding,512,day daywe football friend half met played talked yearswe
3721,2349,24h,My boyfriend said he randomly looks at me and feels really lucky to be with me. I feel the same way.,My boyfriend said he randomly looks at me and feels really lucky to be with me. I feel the same way.,True,2,affection,affection,7378,boyfriend feel feel lucky random
3723,2349,24h,"This morning, I received an email saying that my research project on diabetes has been approved.","This morning, I received an email saying that my research project on diabetes has been approved.",True,1,achievement,achievement,9931,approved diabetes email morning project received research
3726,2349,3m,"I found out that I was taking the same class with 2 of by close friends. We have different majors, so it is usually really hard for us to meet. Taking the same class gave us a chance to catch up and spend more time with each other.","I found out that I was taking the same class with 2 of by close friends. We have different majors, so it is usually really hard for us to meet. Taking the same class gave us a chance to catch up and spend more time with each other.",True,3,bonding,bonding,51914,catch chance class class close found friend hard major meet spend taking taking time
4069,820,24h,I finished my paper for my college class.,I finished my paper for my college class.,True,1,achievement,achievement,526,class college finished paper
4075,820,24h,I got to sleep in.,I got to sleep in.,True,1,leisure,leisure,18194,sleep
4077,820,3m,Set a personal record for my weight lifting.,Set a personal record for my weight lifting.,True,1,achievement,achievement,42076,lifted person record set weight
4090,820,3m,Being able to plan a vacation for the summer,Being able to plan a vacation for the summer,True,1,achievement,achievement,60089,planned summer vacation
4091,820,3m,Completing a new record for my weightlifting,Completing a new record for my weightlifting,True,1,achievement,achievement,75599,completed record weightlifting
4102,820,24h,I managed to find time to catch up on Netflix series.,I managed to find time to catch up on Netflix series.,True,1,leisure,leisure,98747,catch managed netflix series time
4105,820,24h,Started to take up photography again.,Started to take up photography again.,True,1,achievement,achievement,100060,photography started
4275,1719,24h,i met my friends at a movie theater.,i met my friends at a movie theater.,True,1,bonding,bonding,91756,friend met movie theater
4345,376,24h,I managed to throw out a few items that were cluttering a room. I enjoyed the space I have after.,I managed to throw out a few items that were cluttering a room. I enjoyed the space I have after.,True,2,enjoy_the_moment,enjoy_the_moment,539,clutter enjoyed items managed space throw
4349,376,24h,"I was complemented on my outfit by a classmate. I put a lot of effort into my outfit, so I was happy.","I was complemented on my outfit by a classmate. I put a lot of effort into my outfit, so I was happy.",True,2,bonding,achievement,5111,classmates complemented effort outfit outfit
