,wid,reflection_period,original_hm,cleaned_hm,modified,num_sentence,ground_truth_category,predicted_category,id,text
6,2053,24h,I played a game for about half an hour.,I played a game for about half an hour.,True,1,leisure,leisure,12532,game half hours played
158,6227,24h,I made vacation plans with my daughter today for Florida in July.,I made vacation plans with my daughter today for Florida in July.,True,1,affection,affection,405,daughter florida july planned vacation
389,4833,3m,"Going to the beach with my children, laying under the umbrella with good snacks, cold drink, good music and the laughter of them playing in the water.","Going to the beach with my children, laying under the umbrella with good snacks, cold drink, good music and the laughter of them playing in the water.",True,1,affection,affection,80291,beach children cold drink laughter laying music played snack umbrella water
661,489,24h,My mother is recovering from weakness after chemotherapy cycle.,My mother is recovering from weakness after chemotherapy cycle.,True,1,affection,affection,416,chemotherapy cycle mother recovered weaknesses
677,489,24h,My son played good cricket with me.,My son played good cricket with me.,True,1,affection,affection,16384,cricket played son
691,489,3m,My mother recovering from a disease.,My mother recovering from a disease.,True,1,affection,affection,44746,disease mother recovered
692,489,3m,My son got 2nd prize in a competition.,My son got 2nd prize in a competition.,True,1,affection,affection,55298,competition prize son
695,489,3m,We celebrated 44th anniversary of parents.,We celebrated 44th anniversary of parents.,True,1,affection,affection,57431,anniversary celebrated parents
700,489,3m,My son scored good marks in first assessment.,My son scored good marks in first assessment.,True,1,affection,affection,75181,assessment marks score son
702,489,3m,My mother is recovering from cancer illness.,My mother is recovering from cancer illness.,True,1,affection,affection,76929,cancer ill mother recovered
835,4862,24h,"tried a new chicken receipe on my own for my family and they gave feedback, Fantastic !!!..very happy to hear that.","tried a new chicken receipe on my own for my family and they gave feedback, Fantastic !!!..very happy to hear that.",True,2,affection,affection,7811,chicken family fantastic feedback hear receipe
930,156,24h,My mother-in-law offered me money so I could buy some yogurt I can't afford to buy by myself.,My mother-in-law offered me money so I could buy some yogurt I can't afford to buy by myself.,True,1,affection,affection,227,afford buy buy money motherinlaw offer yogurt
943,156,24h,"I had a chance to eat a very fancy yogurt that I can't buy very often but it's so smooth, it's a pure pleasure to eat it.","I had a chance to eat a very fancy yogurt that I can't buy very often but it's so smooth, it's a pure pleasure to eat it.",True,1,enjoy_the_moment,enjoy_the_moment,26342,buy chance eat eat fancy pleasure pure smoothly yogurt
944,156,24h,I played an old game and just by hearing its music it brought a huge smile on my lips and brought back great memories.,I played an old game and just by hearing its music it brought a huge smile on my lips and brought back great memories.,True,1,leisure,leisure,27880,brought brought game hear huge lips memories music played smile
945,156,24h,"The sun is so hot today, it's like summer, and it gives me an extra boost of happy energy.","The sun is so hot today, it's like summer, and it gives me an extra boost of happy energy.",True,1,nature,nature,28873,boost energy extra hot summer sun
951,156,3m,My grocery store has a ten day sale on yogurt and as it's the only food I can eat that is fun it makes me insanely happy to be able to buy many.,My grocery store has a ten day sale on yogurt and as it's the only food I can eat that is fun it makes me insanely happy to be able to buy many.,True,1,enjoy_the_moment,enjoy_the_moment,47496,buy day eat food fun grocery insane makes sale store ten yogurt
952,156,3m,I listened to some music at night through my headphones and danced for fifteen minutes straight.,I listened to some music at night through my headphones and danced for fifteen minutes straight.,True,1,leisure,leisure,49485,dance fifteen headphones listening minutes music night straight
957,156,3m,There was a book sale at my library and I felt like a kid in a candy store with so many books around; it was pure fun!,There was a book sale at my library and I felt like a kid in a candy store with so many books around; it was pure fun!,True,1,enjoy_the_moment,enjoy_the_moment,58925,book book candy fun kids library pure sale store
963,156,3m,I received a beautiful card from my aunt and her only purpose was to tell me how much she loved me.,I received a beautiful card from my aunt and her only purpose was to tell me how much she loved me.,True,1,affection,affection,70461,aunt beautiful card love purpose received
965,156,3m,I spent a simple evening with my husband watching a TV show and caressing his hair while doing so.,I spent a simple evening with my husband watching a TV show and caressing his hair while doing so.,True,1,affection,affection,72961,caressing evening hair husband simple spent tv watched
969,156,3m,I exercised when I  woke up and it felt wonderful to feel energized in the morning.,I exercised when I  woke up and it felt wonderful to feel energized in the morning.,True,1,exercise,exercise,76489,energized exercise feel morning woke wonderful
978,156,24h,My friend called me to see how I was doing today and her presence was a breath of fresh air.,My friend called me to see how I was doing today and her presence was a breath of fresh air.,True,1,bonding,bonding,88690,air breath called fresh friend presence
979,156,24h,I watched a TV show with my husband and being close to him felt wonderful.,I watched a TV show with my husband and being close to him felt wonderful.,True,1,affection,affection,89685,close husband tv watched wonderful
1003,3382,24h,My son surprised me this morning by waking me up to his home made pancakes breakfast.,My son surprised me this morning by waking me up to his home made pancakes breakfast.,True,1,affection,affection,89860,breakfast home morning pancakes son surprise wake
1101,794,24h,I ate teriyaki chicken and white rice for lunch.,I ate teriyaki chicken and white rice for lunch.,True,1,enjoy_the_moment,enjoy_the_moment,17428,ate chicken lunch rice teriyaki white
1106,794,24h,Ate a big grilled chicken salad.,Ate a big grilled chicken salad.,True,1,leisure,enjoy_the_moment,24637,ate chicken grilled salad
